epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4231,3.03791,2.91463,0.01723,0.55299,0.59676,0.57503,0.27063,2.09844,1.31391,0.01036,0.000647059,0.000647059,0.000647059
2,60.0446,1.86842,1.10185,0.0094,0.76452,0.67568,0.75049,0.41666,1.79371,1.18645,0.00863,0.00128771,0.00128771,0.00128771
3,76.1049,1.595,0.96739,0.00762,0.75612,0.77758,0.83659,0.51192,1.49727,0.85089,0.00692,0.00190197,0.00190197,0.00190197
4,94.6241,1.5581,0.89984,0.00749,0.80013,0.81217,0.86033,0.51008,1.54548,0.79536,0.00716,0.0018812,0.0018812,0.0018812
5,115.23,1.52815,0.87669,0.00722,0.8364,0.81298,0.87945,0.55466,1.41956,0.73396,0.00648,0.0018416,0.0018416,0.0018416
6,132.443,1.44627,0.80399,0.0068,0.82248,0.83565,0.89455,0.56887,1.37771,0.71297,0.00628,0.001802,0.001802,0.001802
7,149.696,1.39306,0.77626,0.00674,0.87105,0.84343,0.90966,0.58811,1.34391,0.65599,0.00602,0.0017624,0.0017624,0.0017624
8,169.496,1.38893,0.79843,0.00679,0.85583,0.81644,0.88497,0.54733,1.42432,0.74734,0.00649,0.0017228,0.0017228,0.0017228
9,189.118,1.36991,0.74379,0.00604,0.8222,0.83899,0.90932,0.57729,1.33773,0.69036,0.0061,0.0016832,0.0016832,0.0016832
10,206.05,1.35104,0.7715,0.00645,0.84521,0.80417,0.89806,0.54175,1.50234,0.76264,0.00677,0.0016436,0.0016436,0.0016436
11,222.972,1.33725,0.70694,0.00624,0.8242,0.8698,0.91276,0.59014,1.32936,0.64699,0.00582,0.001604,0.001604,0.001604
12,240.417,1.32566,0.70457,0.00635,0.84503,0.86708,0.9253,0.60396,1.32497,0.59014,0.00603,0.0015644,0.0015644,0.0015644
13,259.312,1.32985,0.73237,0.00607,0.8271,0.85379,0.91966,0.59605,1.26688,0.70031,0.00555,0.0015248,0.0015248,0.0015248
14,280.104,1.30075,0.69692,0.00599,0.87855,0.84525,0.9304,0.62233,1.2583,0.60725,0.00564,0.0014852,0.0014852,0.0014852
15,296.781,1.30594,0.66253,0.00648,0.8539,0.87513,0.93052,0.63084,1.23159,0.55613,0.00544,0.0014456,0.0014456,0.0014456
16,314.727,1.2637,0.63513,0.00577,0.8948,0.873,0.94769,0.64073,1.23649,0.53262,0.00539,0.001406,0.001406,0.001406
17,334.829,1.26359,0.63593,0.00598,0.88034,0.8762,0.93719,0.64332,1.18605,0.54073,0.00518,0.0013664,0.0013664,0.0013664
18,353.889,1.27097,0.63564,0.00584,0.87669,0.84845,0.92128,0.60093,1.34303,0.61025,0.00567,0.0013268,0.0013268,0.0013268
19,370.821,1.25973,0.64346,0.00606,0.8796,0.88581,0.94066,0.6421,1.22205,0.54013,0.00535,0.0012872,0.0012872,0.0012872
20,386.423,1.2396,0.62429,0.00586,0.89368,0.85486,0.93759,0.63296,1.25145,0.55275,0.00556,0.0012476,0.0012476,0.0012476
21,402.701,1.23418,0.59959,0.00559,0.88171,0.87407,0.93968,0.63534,1.228,0.5429,0.00524,0.001208,0.001208,0.001208
22,418.425,1.23862,0.59177,0.00549,0.87348,0.89155,0.9358,0.64919,1.18534,0.53039,0.00512,0.0011684,0.0011684,0.0011684
23,434.211,1.22048,0.61687,0.00574,0.87796,0.88294,0.94242,0.64109,1.20396,0.52899,0.00524,0.0011288,0.0011288,0.0011288
24,450.784,1.2093,0.58307,0.0056,0.87794,0.88275,0.94766,0.6544,1.19308,0.55024,0.00522,0.0010892,0.0010892,0.0010892
25,467.716,1.21454,0.60611,0.00556,0.8703,0.88796,0.94621,0.64042,1.23837,0.54409,0.00534,0.0010496,0.0010496,0.0010496
26,486.175,1.21824,0.59207,0.00567,0.88578,0.88794,0.94021,0.63862,1.23987,0.50828,0.00535,0.00101,0.00101,0.00101
27,503.634,1.19932,0.58581,0.00543,0.8856,0.8794,0.94548,0.65938,1.18312,0.49766,0.00518,0.0009704,0.0009704,0.0009704
28,520.959,1.18637,0.58173,0.00541,0.89328,0.89007,0.94376,0.65492,1.18504,0.5154,0.00509,0.0009308,0.0009308,0.0009308
29,537.223,1.17793,0.59678,0.00563,0.89647,0.89007,0.95265,0.6431,1.22321,0.50868,0.00526,0.0008912,0.0008912,0.0008912
30,552.415,1.17894,0.56759,0.00508,0.89474,0.88687,0.94899,0.66857,1.15305,0.48869,0.00489,0.0008516,0.0008516,0.0008516
31,568.287,1.17036,0.56466,0.00534,0.89115,0.86503,0.94871,0.66452,1.14442,0.5352,0.00484,0.000812,0.000812,0.000812
32,583.223,1.14271,0.55299,0.0051,0.87864,0.89221,0.95129,0.66782,1.16833,0.48893,0.005,0.0007724,0.0007724,0.0007724
33,599.434,1.13211,0.53631,0.00506,0.89916,0.89452,0.95442,0.67357,1.14451,0.48357,0.00486,0.0007328,0.0007328,0.0007328
34,616.327,1.12616,0.5398,0.00529,0.8958,0.90181,0.9553,0.67667,1.13803,0.46756,0.0048,0.0006932,0.0006932,0.0006932
35,633.426,1.12463,0.52394,0.00501,0.90788,0.86766,0.95211,0.67956,1.13176,0.4792,0.00479,0.0006536,0.0006536,0.0006536
36,650.411,1.14538,0.53101,0.00499,0.9112,0.88701,0.9588,0.67907,1.12953,0.47131,0.00478,0.000614,0.000614,0.000614
37,668.483,1.13609,0.51683,0.00503,0.90666,0.89861,0.95823,0.67455,1.13396,0.47325,0.00479,0.0005744,0.0005744,0.0005744
38,685.171,1.12465,0.52651,0.00507,0.91077,0.89326,0.95758,0.67177,1.16358,0.49431,0.00496,0.0005348,0.0005348,0.0005348
39,701.422,1.12676,0.53002,0.00501,0.8995,0.88687,0.95643,0.68306,1.11953,0.48533,0.00476,0.0004952,0.0004952,0.0004952
40,720.645,1.12364,0.52238,0.00487,0.90412,0.90608,0.95853,0.68724,1.12037,0.45215,0.00479,0.0004556,0.0004556,0.0004556
41,741.631,1.05593,0.44993,0.00547,0.91672,0.89284,0.95773,0.67426,1.14722,0.4626,0.00488,0.000416,0.000416,0.000416
42,759.145,1.0668,0.43848,0.00538,0.88342,0.89968,0.95532,0.67792,1.1154,0.48949,0.00469,0.0003764,0.0003764,0.0003764
43,773.856,1.04833,0.43054,0.00541,0.87744,0.91249,0.956,0.68049,1.13617,0.47424,0.00482,0.0003368,0.0003368,0.0003368
44,788.668,1.0148,0.42032,0.00512,0.86783,0.91795,0.9553,0.68024,1.12197,0.47474,0.0047,0.0002972,0.0002972,0.0002972
45,804.925,1.01813,0.41443,0.00518,0.8746,0.90807,0.95514,0.68166,1.11294,0.48025,0.00471,0.0002576,0.0002576,0.0002576
46,820.573,1.01997,0.43065,0.00538,0.90039,0.89221,0.95698,0.6803,1.11807,0.46931,0.00473,0.000218,0.000218,0.000218
47,836.971,1.02323,0.41492,0.0053,0.90935,0.89328,0.95804,0.685,1.1069,0.46766,0.00469,0.0001784,0.0001784,0.0001784
48,851.847,1.01929,0.41288,0.0051,0.91343,0.89541,0.95867,0.68769,1.10342,0.45674,0.00467,0.0001388,0.0001388,0.0001388
49,868.395,1.00793,0.42088,0.00521,0.91066,0.89755,0.95999,0.68633,1.11393,0.45474,0.00471,9.92e-05,9.92e-05,9.92e-05
50,887.107,1.01616,0.41963,0.00528,0.90884,0.89755,0.9591,0.68694,1.11159,0.45954,0.0047,5.96e-05,5.96e-05,5.96e-05
