epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.481,1.56706,1.76252,0.00486,0.79945,0.82325,0.88807,0.61231,1.14547,8.86014,0.00444,0.000475458,0.000475458,0.000475458
2,518.558,1.1627,0.76217,0.00334,0.89006,0.90938,0.95182,0.69562,0.99798,7.78429,0.00376,0.000932946,0.000932946,0.000932946
3,749.783,1.04989,0.59527,0.00296,0.92197,0.91949,0.97323,0.77564,0.80644,9.034,0.00304,0.00137157,0.00137157,0.00137157
4,983.753,0.97312,0.50077,0.00272,0.93657,0.93749,0.98243,0.80985,0.70921,8.6117,0.00256,0.00134412,0.00134412,0.00134412
5,1213.34,0.90908,0.44116,0.00249,0.94628,0.94756,0.98591,0.84319,0.61812,3.66858,0.00225,0.00131582,0.00131582,0.00131582
6,1448.48,0.87104,0.41887,0.00235,0.95557,0.94859,0.98821,0.8357,0.66421,0.27695,0.00246,0.00128753,0.00128753,0.00128753
7,1679.33,0.83675,0.38133,0.00227,0.95519,0.9515,0.98821,0.86394,0.56169,0.24733,0.00202,0.00125923,0.00125923,0.00125923
8,1911.84,0.80256,0.35694,0.00215,0.95488,0.96365,0.98754,0.86837,0.55889,10.1346,0.00206,0.00123094,0.00123094,0.00123094
9,2145.08,0.76979,0.33921,0.00206,0.9564,0.95912,0.98953,0.88326,0.50115,0.25369,0.00179,0.00120265,0.00120265,0.00120265
10,2378.53,0.74078,0.31747,0.00197,0.95867,0.96536,0.99063,0.90275,0.45808,0.20042,0.00166,0.00117435,0.00117435,0.00117435
11,2609.81,0.72126,0.31041,0.00194,0.96779,0.96837,0.99148,0.89833,0.48359,0.20141,0.00178,0.00114606,0.00114606,0.00114606
12,2842.52,0.70507,0.29221,0.00189,0.97241,0.9723,0.99243,0.91536,0.43315,0.17322,0.00157,0.00111776,0.00111776,0.00111776
13,3075.55,0.68768,0.28656,0.00181,0.97232,0.97206,0.99222,0.91024,0.44178,0.17746,0.00161,0.00108947,0.00108947,0.00108947
14,3306.36,0.66833,0.2798,0.00178,0.96697,0.97442,0.99228,0.91841,0.42202,0.1724,0.00156,0.00106118,0.00106118,0.00106118
15,3539.83,0.64849,0.26845,0.00172,0.97504,0.96954,0.99207,0.9187,0.40497,0.17603,0.00148,0.00103288,0.00103288,0.00103288
16,3772.36,0.63893,0.26131,0.00169,0.97368,0.97783,0.99293,0.93042,0.39699,0.15609,0.00144,0.00100459,0.00100459,0.00100459
